dataset,model,n_ahead,ws,n_var,mae,mape,training_time,run
ws30_fh7_var1,TKAN,7,30,1,3.821128623832692,12.180343453400356,77.76367354393005,11
ws30_fh7_var3,TKAN,7,30,3,3.88420012354121,11.878484917688027,77.78764820098877,11
ws7_fh1_var1,TKAN,1,7,1,1.4679667826776697,4.5341795405334295,32.23881816864014,12
ws7_fh1_var3,TKAN,1,7,3,1.8995181021309764,5.775175735034148,30.050715446472168,12
ws7_fh3_var1,TKAN,3,7,1,2.41939725631815,7.698118195657116,30.083449363708496,12
ws7_fh3_var3,TKAN,3,7,3,2.74055709567194,8.649517119370936,33.20844101905823,12
ws7_fh7_var1,TKAN,7,7,1,3.8571128490219406,12.478493773614394,28.90509867668152,12
ws7_fh7_var3,TKAN,7,7,3,3.793844009263923,11.569536716908702,30.266839265823364,12
ws15_fh1_var1,TKAN,1,15,1,1.7606251904593335,5.69021110553924,50.22816562652588,12
ws15_fh1_var3,TKAN,1,15,3,2.136676804882517,6.928298434707483,47.01593255996704,12
ws15_fh3_var1,TKAN,3,15,1,2.3747968678224245,7.465695554661524,46.8668429851532,12
ws15_fh3_var3,TKAN,3,15,3,2.6691290935358394,8.310308435835656,50.627790212631226,12
ws15_fh7_var1,TKAN,7,15,1,3.566287524714573,11.0013649563031,46.681068658828735,12
ws15_fh7_var3,TKAN,7,15,3,3.9550886310669857,11.925868645200676,46.79491853713989,12
ws30_fh1_var1,TKAN,1,30,1,1.448082273074262,4.434676055368656,77.91230154037476,12
ws30_fh1_var3,TKAN,1,30,3,3.612318273317972,12.215762456026374,83.11157894134521,12
ws30_fh3_var1,TKAN,3,30,1,2.4183088130343715,7.568594281178696,78.85100936889648,12
ws30_fh3_var3,TKAN,3,30,3,2.5703606761769144,8.102738574619824,78.8925507068634,12
ws30_fh7_var1,TKAN,7,30,1,3.59459099948718,10.892042639901195,79.02478551864624,12
ws30_fh7_var3,TKAN,7,30,3,3.837225824575357,11.9269994320019,83.30605745315552,12
ws7_fh1_var1,TKAN,1,7,1,1.698579605136068,5.403152784637772,30.597388982772827,13
ws7_fh1_var3,TKAN,1,7,3,1.7144282997687714,5.163934050599481,30.458711862564087,13
ws7_fh3_var1,TKAN,3,7,1,2.6134832658794926,8.39367203151886,30.46164631843567,13
ws7_fh3_var3,TKAN,3,7,3,2.6593844565682767,8.260894679316605,35.61625528335571,13
ws7_fh7_var1,TKAN,7,7,1,3.595098334931501,11.042481181349087,30.66907477378845,13
ws7_fh7_var3,TKAN,7,7,3,3.9262524052164975,11.82757770222361,30.70492196083069,13
ws15_fh1_var1,TKAN,1,15,1,1.4429981073815037,4.344390458982838,47.1813383102417,13
ws15_fh1_var3,TKAN,1,15,3,2.02132269961844,6.575046585224295,47.29683542251587,13
ws15_fh3_var1,TKAN,3,15,1,2.3158000301004678,7.113846691974324,53.298583984375,13
ws15_fh3_var3,TKAN,3,15,3,2.872497322488855,8.80117508810712,47.74990940093994,13
ws15_fh7_var1,TKAN,7,15,1,3.6816254789068936,11.142067611628589,47.74363684654236,13
ws15_fh7_var3,TKAN,7,15,3,4.110355368385584,11.93491286754412,47.64916348457336,13
ws30_fh1_var1,TKAN,1,30,1,1.6434613153022932,4.9946303489619535,78.92117118835449,13
ws30_fh1_var3,TKAN,1,30,3,2.155298093461941,6.5824694703659885,84.93481183052063,13
ws30_fh3_var1,TKAN,3,30,1,2.321146757180793,7.293783342401294,79.8098533153534,13
ws30_fh3_var3,TKAN,3,30,3,2.70217712679938,8.318343257834302,80.30417442321777,13
ws30_fh7_var1,TKAN,7,30,1,3.6047045264186313,11.031788488757718,78.83783054351807,13
ws30_fh7_var3,TKAN,7,30,3,3.865350412823504,11.783418228722562,78.7598946094513,13
ws7_fh1_var1,TKAN,1,7,1,1.448279851029718,4.416349121468721,30.665462255477905,14
ws7_fh1_var3,TKAN,1,7,3,2.2475253117327263,7.099777032930486,37.24417757987976,14
ws7_fh3_var1,TKAN,3,7,1,2.2068345823873075,6.783449589251196,30.82257604598999,14
ws7_fh3_var3,TKAN,3,7,3,2.837017399071853,8.493513123168832,30.84624528884888,14
ws7_fh7_var1,TKAN,7,7,1,3.6408626731702833,11.44788961515512,30.697412490844727,14
ws7_fh7_var3,TKAN,7,7,3,4.0037374529279175,12.49758881872974,30.60144591331482,14
ws15_fh1_var1,TKAN,1,15,1,1.5231166728227314,4.563146931552291,47.65949988365173,14
ws15_fh1_var3,TKAN,1,15,3,2.544878303210165,8.297746556286272,54.65454840660095,14
ws15_fh3_var1,TKAN,3,15,1,2.3697294794796524,7.497370640013251,47.64162826538086,14
ws15_fh3_var3,TKAN,3,15,3,2.661277909424389,8.089629591983174,47.85682916641235,14
ws15_fh7_var1,TKAN,7,15,1,3.727689097512173,11.393524944858155,47.42009139060974,14
ws15_fh7_var3,TKAN,7,15,3,3.954687858561852,12.121039657588843,47.35588073730469,14
ws30_fh1_var1,TKAN,1,30,1,2.9575041290009767,8.781726849720904,78.36071157455444,14
ws30_fh1_var3,TKAN,1,30,3,2.0145953884770536,6.307076508019009,78.7597029209137,14
ws30_fh3_var1,TKAN,3,30,1,2.362670647497766,7.489836289267364,86.71749949455261,14
ws30_fh3_var3,TKAN,3,30,3,2.67833757926758,8.40700079520269,78.99892902374268,14
ws30_fh7_var1,TKAN,7,30,1,4.01418104027459,12.906704710747876,78.51375794410706,14
ws30_fh7_var3,TKAN,7,30,3,4.036308209862796,12.34762813229148,78.42550230026245,14
ws7_fh1_var1,TKAN,1,7,1,1.675439225354198,4.981054595973249,30.730005025863647,15
ws7_fh1_var3,TKAN,1,7,3,1.8116881209678448,5.974677568015252,30.79582619667053,15
ws7_fh3_var1,TKAN,3,7,1,2.2831412520048917,7.063304051992751,30.65546154975891,15
ws7_fh3_var3,TKAN,3,7,3,2.792656499463619,8.662679602239313,38.79545068740845,15
ws7_fh7_var1,TKAN,7,7,1,3.633133265401747,11.185086620891587,30.92548680305481,15
ws7_fh7_var3,TKAN,7,7,3,3.795780879665069,11.569638373196458,30.45775032043457,15
ws15_fh1_var1,TKAN,1,15,1,1.4084081461022064,4.273296211068343,47.11601233482361,15
ws15_fh1_var3,TKAN,1,15,3,2.215683399758224,6.9038853202342345,47.11610770225525,15
ws15_fh3_var1,TKAN,3,15,1,2.79405467308452,9.113916042887931,46.94303345680237,15
ws15_fh3_var3,TKAN,3,15,3,2.588981765103161,8.085494797181516,47.36147212982178,15
ws15_fh7_var1,TKAN,7,15,1,3.6804605284410528,11.17949614639544,55.5849027633667,15
ws15_fh7_var3,TKAN,7,15,3,3.840872000505404,11.878181593164676,47.37609815597534,15
ws30_fh1_var1,TKAN,1,30,1,1.5466234564108872,4.820684576615805,78.04527163505554,15
ws30_fh1_var3,TKAN,1,30,3,2.010964668426841,6.334574681531653,78.12321162223816,15
ws30_fh3_var1,TKAN,3,30,1,2.2806728972069656,6.967135963322865,78.02506113052368,15
ws30_fh3_var3,TKAN,3,30,3,2.662830473464347,8.418867726739663,77.79309129714966,15
ws30_fh7_var1,TKAN,7,30,1,3.6484961253174895,11.181373948574867,77.91228771209717,15
ws30_fh7_var3,TKAN,7,30,3,4.056638723045147,12.362107156829842,77.8932740688324,15
ws7_fh1_var1,TKAN,1,7,1,2.034254890704453,6.507831476571332,30.20554494857788,16
ws7_fh1_var3,TKAN,1,7,3,1.9450247774853655,6.358475396787376,40.14776039123535,16
ws7_fh3_var1,TKAN,3,7,1,2.3662367265392965,7.468879858842118,30.52758264541626,16
ws7_fh3_var3,TKAN,3,7,3,2.718411034575053,8.23945650567594,30.393139600753784,16
ws7_fh7_var1,TKAN,7,7,1,3.761363310962487,12.029596537628136,30.21350717544556,16
ws7_fh7_var3,TKAN,7,7,3,3.8781468466208153,11.799898007120447,30.40772271156311,16
ws15_fh1_var1,TKAN,1,15,1,1.8627072851068285,6.002835096841733,47.24945306777954,16
ws15_fh1_var3,TKAN,1,15,3,2.0420150250221267,6.476831302771292,47.54761266708374,16
ws15_fh3_var1,TKAN,3,15,1,2.401991407862764,7.342825590176435,47.0453519821167,16
ws15_fh3_var3,TKAN,3,15,3,2.60623408214193,7.800567375990769,47.26392245292664,16
ws15_fh7_var1,TKAN,7,15,1,3.754177355613804,11.7693779930827,58.441242694854736,16
ws15_fh7_var3,TKAN,7,15,3,3.817001077535897,11.644178398169815,47.8778657913208,16
ws30_fh1_var1,TKAN,1,30,1,3.624953798800492,12.574352783227152,79.54195189476013,16
ws30_fh1_var3,TKAN,1,30,3,2.3013786039887387,7.739222598222842,79.4352056980133,16
ws30_fh3_var1,TKAN,3,30,1,2.4649303353956955,7.477429023292741,79.0378930568695,16
ws30_fh3_var3,TKAN,3,30,3,2.5670150003251964,7.987593517079452,78.5541124343872,16
